date|event
1 Jan 1900|British protectorates are set up in Nigeria
5 Jan 1900|Irish Nationalist leader Redmond calls for uprising
20 Jan 1900|Writer and art critic John Ruskin dies
24 Jan 1900|Boers defeated at Spion Kop
9 Feb 1900|Dwight Davis creates the Tennis Cup
27 Feb 1900|Labour Party founded in the UK
28 Feb 1900|General Butler relieved Ladysmith after the Boers attack and siege which lasted 3 months. About 1,000 people were killed or injured
13 Mar 1900|British Army captures Bloemfontain
14 Mar 1900|US goes onto the Gold Standard
17 Mar 1900|General Roberts and the British Army relieves Mafeking after a siege lasting 215 days. The resiatnce during the siege was led by Colonel Robert Baden-Powell
Mar 1900|President Steyn of Orange-Free state flees from Bloemfontein
4 Apr 1900|British Prince of Wales is shot in Belgium in an attempted assasination
14 Apr 1900|The World Exhibition (the International Exposition) opens in Paris
30 Apr 1900|Hawiaii officially becomes US territory
19 May 1900|Britain annexes Tonga Islands
19 May 1900|Britain annexes Orange Free State
31 May 1900|Boxer rebellion in China against foreigners and Christians began
4 Jun 1900|Rodin exhibition opens in Paris
5 Jun 1900|British Army takes Pretoria the capital of the Transvaal
5 Jun 1900|German liner Deutschland III sets new speed record
19 Jun 1900|Republicans nominate Roosevelt as US Vice-President
20 Jun 1900|German ambassador assasinated in Peking by Boxers
27 Jun 1900|Opening of London Underground Central Line
1 Jul 1900|Maiden flight of airship built by Count Ferdinand von Zeppelin
29 Jul 1900|King Umberto of Italy is assasinated, aged 56. He is succeed by his 30 year old son, Victor Emmanuel III
14 Aug 1900|Allied troops relieve besieged embassies in Peking
25 Aug 1900|German philosopher Friedrich Nietzsche dies
31 Aug 1900|End of Taff Vale railway strike in South Wales
31 Aug 1900|British Army occupies Johannesburg
19 Sep 1900|Alfred Dreyfus pardoned in Paris
16 Oct 1900|Tories win British Election
25 Oct 1900|Britain annexes the Transvaal
6 Nov 1900|McKinley wins US election for Republicans
22 Nov 1900|Operetta composer Sir Arthur Sulivan dies
30 Nov 1900|Oscar Wilde dies in Paris
1900|William Orton published the earliest report on the value of selective breeding for crop resistance
1900|Antoine Henri Becquerel suggests that beta rays are electrons
1900|David Hilbert states his list of 23 problems which show where further mathematical work is needed
1900|Frederick Soddy of Great Britain observes spontaneous disintegration of radioactive elements into variants he calls 'isotopes' or totally new elements and postulates the concept of 'half-life'
1900|Friedrich Dorn discovers element 86, Radon (Rn)
1900|Johannes Rydberg refines the expression for observed hydrogen line wavelengths
1900|Joseph Pernet-Ducher introduced what is thought to be the first yellow hybrid rose called 'Soleil d'Or'. This provided the genetic source for yellow coloration in Hybrid Teas and Floribundas
1900|Lord Rayleigh develops the statistical derivation of short wavelength black body law
1900|Lummer, Pringsheim, Rubens and Kurlbaum show the failure of Wien's black body law at short wavelengths
1900|Max Planck proposes Planck's constant
1900|Max Planck develops quantum theory and his blackbody radiation law
1900|Paul Villard discovers gamma-rays while studying Uranium decay
1900|Pyotr Lebedev measures radiation pressure
1900|The British owned Pacific Islands Company purchased rights to all minerals on 3-mile-long Ocean Island. Within 80 years 20 million tons of phosphate for agricultural fertilizer were extracted from the island which destroyed the original tropical vegetation and the homeland of the 2 thousand native islanders
1900|Pupin's loading coil reduces telephone voice distortion
1900|The magazine 'The Billboard' began weekly publication
1900|The 2nd Olympic games opens in Paris France and lasted 5 months
1900|Four German liners burn at Hobokon Docks New Jersey when 326 people die
1900|6,000 killed when a hurricane and tidal wave destroys Galveston, Texas
1900|The seven high chiefs of American Samoa sign an Instrument of Cession
1900|Battle at Driefontein, South-Africa (Boers vs British army)
1900|Battle at Hart's Hill, South-Africa (Boers vs British army)
1900|Battle at Pietershoogte; Boer General Cronjé surrenders to English in Pardenberg, South-Africa
1900|Battle at Poplar Grove South Africa, President Kruger flees
1900|Battle at Tugela-Spionkop, South Africa (Boers vs British army)
1900|Battle at Vaalkrans, South-Africa (Boers vs British army)
1900|Battle at Wynne's Hill, South-Africa (Boers vs British army)
1900|Boer attack under Sarel Eloff, about 70 killed
1900|Boers under Joubert beat English at Spionkop Natal, 2,000 killed
1900|Brigadier-General Broadwoods' troops fall into guerrilla hands.
1900|British annex Natal (South Africa)
1900|British troops relieve Mafeking (Cape Colony)
1900|British troops under General Buller occupy Vaal Krantz, Natal
1900|British troops under Ian Hamilton attack the Vaal in South Africa
1900|British troops under Lord Roberts occupy Johannesburg
1900|British troops vacate Vaal Krantz, Natal
1900|Dr Walter Reed begins research that beats Yellow Fever
1900|The Dutch 2nd Chamber accepts Compulsory education law
1900|E Verlinger begins manufacturing 7 inch single-sided records in Montreal
1900|Edwin S Votey patents the pneumatic piano player
1900|Eyre M Shaw, 78, becomes oldest gold medalist in the Olympics
1900|France proclaims a protectorate over Chad
1900|Freeland Colony founded in the US
1900|General Buller's troops relieve Ladysmith Natal
1900|General French relieves Kimberley/Cecil Rhodes
1900|German Navy Law calls for massive increase in sea power
1900|Giacobini discovers a comet. It will later be the first comet visited by spacecraft
1900|"Giacomo Puccini's opera ""Tosca"", premieres in Rome"
1900|Hugo de Vries rediscovers Mendel's laws of genetics
1900|Lord Roberts & Lord Kitchener reach Capetown
1900|Lord Roberts' army fights the Vaal in South Africa
1900|Lord Roberts' troops occupies Crown city
1900|Newcastle Badminton Club, world's oldest, formed in England
1900|Premature blast collapses mine tunnel killing 200 at Scofield in Utah
1900|Sir Arthur Evans finds the old city of Knossus
1900|Solar eclipse occurs
1900|Steamer 'Rio de Janeiro' sinks in San Francisco Bay
1900|The first Chinese daily newspaper in the US is published in San Francisco, the 'Chung Sai Yat Po'
1900|The first Davis Cup Tennis Tournament in Boston when the US beats England
1900|The term 'orienteering' is first used for an event
1900|"Trademark ""Escalator"" registered by Otis Elevator Co"
1900|US President William McKinley re-elected, beating William Jennings Bryan
1900|US Socialist Party is formed at Indianapolis
1900|US troops arrive in Peking, to help put down the Boxer Rebellion
1900|Beginning of film production in Czechoslovakia, Germany, Italy, Japan, Russia, Scandinavia
1900|First mass-marketed camera, the Kodak Brownie, costs $1
1900|Karl Landsteiner discovers human blood groups, or types
1900|Freud's 'The Interpretation of Dreams' is published
1900|US Army Yellow Fever Commission founded
1900|Henry Carter of the US Public Health Service shows that a lapse of twelve to fifteen days is necessary before a case of yellow fever becomes dangerous to others
1900|Dr Jesse Lazear dies tragically in experiments, confirmed by Walter Reed, demonstrating that yellow fever is transmitted by the Aedes Aegypti mosquito
1900|Winston Churchill was elected as the Conservative MP for Oldham
1 Jan 1901|Commonweath of Australia comes into being when Australia declared independence from federation of UK colonies
10 Jan 1901|World's largest oil strike in Texas
22 Jan 1901|Queen Victoria dies and is suceeded by her son King Edward VII
2 Feb 1901|Queen Victoria's funeral
5 Feb 1901|Pierpoint Morgan has near monopoly of US steel industry
14 Feb 1901|King Edward VII opens his first parliament
22 Feb 1901|A mail steamer sinks in San Francisco Harbour
4 Mar 1901|Inauguration of US President McKinley
12 Mar 1901|Whitechapel art gallery opens in London
19 Mar 1901|Boar leader Botha rejects Kitchener's terms
24 Apr 1901|200 killed in chemical explosion in Griesheim Germany
13 May 1901|UK Prime Minister Lord Salisbury attacks Irish home rule
24 May 1901|78 miners die in Caerphilly pit disaster in South Wales
2 Jun 1901|400 die in New York heatwave
4 Jun 1901|US republican Taft appointed Governor of the Philippines
17 Jun 1901|Lloyd George condemns concentration camps in South Africa
24 Jun 1901|First Picasso exhibition opens in Paris
1 Aug 1901|UK Parliment votes extra £12.5 million for munitions
